pair,design,occupancy,n_laminar_events,mean_laminar_len,median_laminar_len,mean_maxP,median_maxP
bib-bib,rs,0.48893975,47048,41.56943972113586,4.0,0.42983242869377136,0.39529767632484436
bib-bib,ra,0.51244475,46269,44.301346473881,5.0,0.4373852014541626,0.4053061008453369
bib-bib,ss,0.50633775,49226,41.14392800552554,5.0,0.435751736164093,0.4026760458946228
bib-bib,sa,0.504935,47933,42.13673252247929,5.0,0.4326832890510559,0.4020589590072632
bo-bo,rs,0.240216,182534,5.264027523639432,3.0,0.3360573649406433,0.3100598156452179
bo-bo,ra,0.2501435,190948,5.240033935940675,3.0,0.3379323184490204,0.3114143908023834
bo-bo,ss,0.220288,218465,4.03337834435722,2.0,0.3425224721431732,0.3260415196418762
bo-bo,sa,0.2465185,230471,4.278516602956554,3.0,0.34882718324661255,0.32655400037765503
